epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,31.0287,1.06877,1.64004,3.80265,0.85866,0,0.009,0.90639,0.14243,0.05056,0.00933,0.93986,0.21023,0.11102,0.78129,0.85847,4.07159,0.80699,0,0.00025722,0.00025722,0.00025722
2,58.8927,0.92758,1.2268,2.1652,0.82481,0,0.00426,0.42327,0.0383,0.03048,0.00807,0.80571,0.05587,0.03661,0.79228,0.96997,3.64569,0.80324,0,0.000522187,0.000522187,0.000522187
3,86.2563,0.86452,1.11221,1.5365,0.85898,0,0.00968,0.9732,0.82905,0.61669,0.00968,0.9732,0.82913,0.60462,0.88499,0.80682,3.09298,0.82813,0,0.000780434,0.000780434,0.000780434
4,114.011,0.86412,1.07614,1.25328,0.83411,0,1,0.03047,0.8376,0.64625,1,0.03047,0.8384,0.59093,0.88603,0.90595,3.05367,0.83355,0,0.00103196,0.00103196,0.00103196
5,142.139,0.84452,1.16844,1.15644,0.83596,0,1,0.69339,0.99131,0.74924,1,0.69339,0.99131,0.67628,0.86383,0.94818,2.28963,0.82735,0,0.00127677,0.00127677,0.00127677
6,177.75,0.83222,1.15809,1.16034,0.84195,0,0.99265,0.8849,0.98878,0.78261,0.99265,0.8849,0.98878,0.6929,0.78386,0.80847,2.05968,0.81986,0,0.00134058,0.00134058,0.00134058
7,206.856,0.76049,1.04924,1.05407,0.83625,0,0.95864,0.98461,0.98698,0.81362,0.96564,0.99093,0.99448,0.66498,0.7801,0.83931,1.07681,0.82348,0,0.0013229,0.0013229,0.0013229
8,234.218,0.75332,0.96917,0.97817,0.8304,0,0.98123,0.97986,0.98717,0.81505,0.98806,0.98667,0.99449,0.726,0.71633,0.78874,0.95233,0.81323,0,0.00130521,0.00130521,0.00130521
9,261.386,0.76517,0.94327,0.93429,0.83808,0,0.97023,1,0.995,0.74889,0.97023,1,0.995,0.75297,0.93124,0.80036,0.88028,0.8486,0,0.00128753,0.00128753,0.00128753
10,288.971,0.81014,1.00728,0.96049,0.82573,0,0.96391,0.9932,0.98605,0.82255,0.97061,1,0.99384,0.68399,0.68981,0.86401,0.81449,0.81549,0,0.00126985,0.00126985,0.00126985
11,323.452,0.78065,1.02364,0.92172,0.83556,0,0.9698,0.9932,0.98859,0.82436,0.97655,1,0.99474,0.73315,0.72878,0.8279,0.79479,0.81342,0,0.00125216,0.00125216,0.00125216
12,355.391,0.75999,0.9215,0.8795,0.83046,0,0.99057,1,0.995,0.8605,0.99057,1,0.995,0.72283,0.60538,0.74889,0.71561,0.80221,0,0.00123448,0.00123448,0.00123448
13,457.931,0.70316,0.94173,0.79986,0.82851,0,0.99692,0.9981,0.995,0.83273,0.99692,0.9981,0.995,0.69082,0.71799,0.86508,0.71555,0.81322,0,0.00121679,0.00121679,0.00121679
14,522.624,0.72307,0.95285,0.84206,0.8257,0,0.96714,0.9934,0.99329,0.8521,0.96714,0.9934,0.99329,0.68185,0.60931,0.81536,0.73849,0.80082,0,0.00119911,0.00119911,0.00119911
15,610.641,0.65415,0.87811,0.73423,0.81216,0,0.98269,0.99821,0.99487,0.86079,0.98269,0.99821,0.99487,0.70051,0.60237,0.74063,0.70465,0.79445,0,0.00118143,0.00118143,0.00118143
16,636.891,0.67443,0.86434,0.75816,0.81352,0,0.98555,1,0.99474,0.85116,0.98555,1,0.99474,0.72569,0.63662,0.754,0.70695,0.7989,0,0.00116374,0.00116374,0.00116374
17,663.373,0.64963,0.85785,0.70206,0.82494,0,0.98762,1,0.995,0.85232,0.98762,1,0.995,0.69583,0.60831,0.8393,0.6662,0.79838,0,0.00114606,0.00114606,0.00114606
18,693.959,0.63565,0.83151,0.7018,0.82666,0,0.99389,1,0.995,0.87673,0.99389,1,0.995,0.73337,0.54881,0.68836,0.61702,0.79437,0,0.00112837,0.00112837,0.00112837
19,727.894,0.66875,0.92939,0.71002,0.82735,0,0.99742,1,0.995,0.85516,0.99742,1,0.995,0.68402,0.69971,0.76299,0.64775,0.81299,0,0.00111069,0.00111069,0.00111069
20,761.282,0.6716,0.87813,0.67242,0.80985,0,0.99088,0.99912,0.99433,0.84885,0.99556,1,0.995,0.7043,0.63144,0.80704,0.62515,0.79845,0,0.00109301,0.00109301,0.00109301
21,794.58,0.66851,0.83485,0.6739,0.81926,0,0.9889,1,0.995,0.85847,0.9889,1,0.995,0.70841,0.61083,0.68675,0.64818,0.80035,0,0.00107532,0.00107532,0.00107532
22,825.164,0.65863,0.83084,0.6693,0.81319,0,0.9969,0.9969,0.995,0.84922,0.9969,0.9969,0.995,0.72371,0.71111,0.70492,0.64823,0.81301,0,0.00105764,0.00105764,0.00105764
23,875.102,0.6599,0.80791,0.6849,0.81946,0,0.99087,0.99893,0.995,0.87774,0.99087,0.99893,0.995,0.72306,0.58254,0.67926,0.62246,0.79334,0,0.00103995,0.00103995,0.00103995
24,988.042,0.62146,0.78678,0.64396,0.81596,0,0.9975,1,0.995,0.85435,0.9975,1,0.995,0.70073,0.64822,0.76384,0.62492,0.80543,0,0.00102227,0.00102227,0.00102227
25,1014.48,0.64812,0.90215,0.65982,0.80706,0,0.99581,0.99782,0.995,0.86934,0.99581,0.99782,0.995,0.70272,0.56746,0.68198,0.5755,0.79781,0,0.00100459,0.00100459,0.00100459
26,1040.72,0.62519,0.78944,0.62479,0.80248,0,0.9908,1,0.995,0.85857,0.9908,1,0.995,0.7057,0.63964,0.7394,0.58059,0.80244,0,0.000986903,0.000986903,0.000986903
27,1067.35,0.63411,0.83635,0.60316,0.80507,0,0.99696,1,0.995,0.87337,0.99696,1,0.995,0.73752,0.59288,0.7001,0.53944,0.79564,0,0.000969219,0.000969219,0.000969219
28,1101.84,0.58993,0.78093,0.5828,0.8045,0,0.99757,1,0.995,0.88585,0.99757,1,0.995,0.70944,0.56088,0.73153,0.53974,0.79385,0,0.000951535,0.000951535,0.000951535
29,1134.89,0.57156,0.77959,0.56959,0.79809,0,0.99762,1,0.995,0.86477,0.99762,1,0.995,0.7122,0.62836,0.76873,0.56241,0.80153,0,0.000933851,0.000933851,0.000933851
30,1167.94,0.59926,0.85788,0.58746,0.81133,0,0.99596,1,0.995,0.89158,0.99596,1,0.995,0.71178,0.54285,0.6819,0.52293,0.79224,0,0.000916168,0.000916168,0.000916168
31,1200.74,0.58095,0.77609,0.55733,0.80075,0,0.99078,0.99883,0.995,0.88699,0.99078,0.99883,0.995,0.83296,0.56445,0.74553,0.51387,0.79145,0,0.000898484,0.000898484,0.000898484
32,1233.47,0.59208,0.80453,0.55164,0.80725,0,0.99738,0.99732,0.995,0.88789,0.99738,0.99732,0.995,0.85219,0.55344,0.70474,0.52379,0.79046,0,0.0008808,0.0008808,0.0008808
33,1266.92,0.61282,0.80682,0.54208,0.80521,0,0.99558,0.99987,0.995,0.8695,0.99558,0.99987,0.995,0.84711,0.61197,0.69994,0.52571,0.79762,0,0.000863116,0.000863116,0.000863116
34,1299.77,0.61405,0.79689,0.5421,0.81472,0,0.99584,1,0.995,0.86309,0.99584,1,0.995,0.86733,0.58601,0.67637,0.51861,0.79451,0,0.000845432,0.000845432,0.000845432
35,1333.7,0.60901,0.80007,0.546,0.80742,0,0.99043,1,0.995,0.8786,0.99043,1,0.995,0.84691,0.52872,0.65058,0.49198,0.79224,0,0.000827748,0.000827748,0.000827748
36,1367.03,0.62429,0.7556,0.52489,0.80777,0,0.98853,1,0.995,0.85465,0.98853,1,0.995,0.84938,0.64001,0.70315,0.5236,0.79695,0,0.000810064,0.000810064,0.000810064
37,1400.6,0.56505,0.7283,0.50303,0.80715,0,0.98846,1,0.995,0.89268,0.98846,1,0.995,0.8482,0.48181,0.61349,0.46972,0.78381,0,0.00079238,0.00079238,0.00079238
38,1434.02,0.60146,0.82526,0.51839,0.80647,0,0.98688,1,0.995,0.88644,0.98688,1,0.995,0.8482,0.52564,0.64155,0.47097,0.78766,0,0.000774697,0.000774697,0.000774697
39,1467.43,0.57422,0.79217,0.49973,0.8015,0,0.99284,1,0.995,0.86863,0.99284,1,0.995,0.8448,0.57551,0.71608,0.47678,0.79472,0,0.000757013,0.000757013,0.000757013
40,1500.19,0.55339,0.73652,0.51162,0.79298,0,0.99439,1,0.995,0.8838,0.99439,1,0.995,0.86572,0.53985,0.62967,0.45463,0.78803,0,0.000739329,0.000739329,0.000739329
